latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mph),velocityY(mph),velocityZ(mph),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,28953,00:29.0,00:29.0,21,0,0,11.528,51.405509,-2.819328,0,0,0,-2,-2,88,0,1,0,60,99,-8868,2261,11528,3151.5,16,P_GPS,1,0,0,0,0,0,0,1.5314E+12,3790,3782,3774,0,0,0,13,,,,,,,0,0,0,20,-20,889,-350,0,889,6,355,0,86.38,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,29055,00:29.1,00:29.1,21,0,0,11.528,51.405509,-2.819328,0,0,0,-2,-1,88,0,1,0,60,99,-8868,2261,11528,3151.5,16,P_GPS,1,0,0,0,0,0,0,1.5314E+12,3790,3782,3774,0,0,0,13,,,,,,,0,0,0,21,-18,889,-350,0,889,6,355,0,86.38,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,29164,00:29.2,00:29.2,21,0,0,11.528,51.405509,-2.819328,0,0,0,-2,-1,88,0,1,0,60,99,-8868,2261,11528,3151.5,16,P_GPS,1,0,0,0,0,0,0,1.5314E+12,3790,3782,3774,0,0,0,13,,,,,,,0,0,0,21,-18,889,-350,0,889,6,355,0,86.38,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,29254,00:29.3,00:29.3,21,0,0,11.528,51.405509,-2.819328,0,0,0,-2,-1,88,0,1,0,60,99,-8868,2261,11528,3151.5,16,P_GPS,1,0,0,0,0,0,0,1.5314E+12,3778,3770,3761,0,0,0,13,,,,,,,0,0,0,21,-16,887,-350,0,889,6,355,0,86.39,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,29355,00:29.4,00:29.4,21,0,0,11.528,51.405509,-2.819328,0,0,0,-2,-1,88,0,1,0,60,99,-8868,2261,11528,3151.5,16,P_GPS,1,1,0,0,0,0,0,1.5314E+12,3778,3770,3761,0,0,0,13,,,,,,,0,0,0,20,-18,889,-350,0,889,6,355,0,86.37,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,29457,00:29.5,00:29.5,21,0,0,11.528,51.405509,-2.819328,0,0,0,-2,-1,88,0,1,0,60,99,-8868,2261,11528,3151.5,16,P_GPS,1,1,0,0,0,0,0,1.5314E+12,3778,3770,3761,0,0,0,13,,,,,,,0,0,0,20,-18,889,-350,0,889,6,355,0,86.35,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,29553,00:29.6,00:29.6,21,0,0,11.288,51.405509,-2.819328,0,0,0,-2,-2,88,0,1,0,60,99,-8464,2256,11288,3151.5,16,P_GPS,1,1,0,0,0,0,0,1.5314E+12,3778,3770,3761,0,0,0,13,,,,,,,0,0,0,21,-20,889,-350,0,889,6,355,0,86.33,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,29654,00:29.7,00:29.7,21,0,0,11.288,51.405509,-2.819328,0,0,0,-2,-2,88,0,1,0,60,99,-8464,2256,11288,3151.5,16,P_GPS,1,1,0,0,0,0,0,1.5314E+12,3778,3770,3761,0,0,0,13,,,,,,,0,0,0,20,-21,889,-350,0,889,6,355,0,86.33,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,29786,00:30.0,00:30.0,21,0,0,11.288,51.405509,-2.819328,0,0,0,-1,-2,88,0,1,0,60,99,-8464,2256,11288,3151.5,16,P_GPS,1,1,0,0,0,0,0,1.5314E+12,3778,3770,3761,0,0,0,13,,,,,,,0,0,0,18,-20,889,-350,0,889,6,355,0,86.3,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
51.405554,-2.819226,116,116,0,28,116,116,10.07,28,29883,00:30.0,00:30.0,21,0,0,11.288,51.405509,-2.819328,0,0,0,-1,-1,88,0,1,0,60,99,-8464,2256,11288,3151.5,16,P_GPS,1,1,0,0,0,0,0,1.5314E+12,3778,3770,3761,0,0,0,13,,,,,,,0,0,0,18,-18,889,-350,0,889,6,355,0,86.29,0,0,0,0,,,100,100,0,1,0,0,0,2,0,,,,,0,0,0
