latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mph),velocityY(mph),velocityZ(mph),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
51.405517,-2.819335,2,2,5.15,0,2,2,5.15,0,0,2018-07-12 14:02:07.338,2018-07-12 15:02:07.338,21,0,0.00,11.506000,51.405517,-2.819335,-0.22,0.00,-5.14,-1,0,39,0,1,0,55,99,-3176,2065,11506,3164.50,16,P_GPS,1,0,0,0,660,0,0,1531404127329,3837,3833,3834,0,0,0,13,Litchi_4.7-g,markmavic,08RDE3400101DF,08XUE3E0013AD2,093AE2Q03102B9,,0,0,0,15,-2,397,-350,0,397,6,8,23.02,0.67,-1,0,-22,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405517,-2.819335,3,3,5.82,0,3,3,5.82,0,105,2018-07-12 14:02:07.434,2018-07-12 15:02:07.434,21,0,0.00,11.506000,51.405517,-2.819335,0.00,0.00,-5.82,-1,0,39,0,1,0,55,99,-3176,2065,11506,3164.50,16,P_GPS,1,0,0,0,660,0,0,1531404127434,3837,3833,3834,0,0,0,13,,,,,,,0,0,0,13,-5,397,-350,0,397,6,11,26.00,0.73,0,0,-25,0,,,100,100,0,1,0,0,0,2,0,,,,,2.5,0.0,0
51.405517,-2.819335,4,4,6.71,0,4,4,6.71,0,219,2018-07-12 14:02:07.549,2018-07-12 15:02:07.549,21,0,0.00,11.506000,51.405517,-2.819335,0.00,0.00,-6.71,-1,0,39,0,1,0,55,99,-3176,2065,11506,3164.50,16,P_GPS,1,0,0,0,660,0,0,1531404127548,3837,3833,3834,0,0,0,13,,,,,,,0,0,0,16,-5,397,-350,0,397,6,13,30.00,0.78,0,0,-30,0,,,100,100,0,1,0,0,0,2,0,,,,,2.5,0.0,0
51.405517,-2.819335,5,5,7.61,0,5,5,7.61,0,307,2018-07-12 14:02:07.636,2018-07-12 15:02:07.636,21,0,0.00,11.506000,51.405517,-2.819335,0.00,0.00,-7.61,-1,0,39,0,1,0,55,99,-10396,2061,11506,3164.50,16,P_GPS,1,0,0,0,568,0,0,1531404127636,3837,3833,3834,0,0,0,13,,,,,,,0,0,0,18,0,397,-350,0,397,6,17,34.00,0.81,0,0,-34,0,,,100,100,0,1,0,0,0,2,0,,,,,3.4,0.0,0
51.405517,-2.819335,6,6,8.28,0,6,6,8.28,0,398,2018-07-12 14:02:07.728,2018-07-12 15:02:07.728,21,0,0.00,11.506000,51.405517,-2.819335,0.00,0.00,-8.28,-1,0,39,0,1,0,55,99,-10396,2061,11506,3164.50,16,P_GPS,1,0,136,0,108,0,0,1531404127727,3837,3833,3834,0,0,0,13,,,,,,,0,0,0,18,0,398,-350,0,397,6,20,37.00,0.83,0,0,-37,0,,,100,100,0,1,0,0,0,2,0,,,,,3.4,0.0,0
51.405517,-2.819335,7,7,8.50,0,7,7,8.50,0,501,2018-07-12 14:02:07.937,2018-07-12 15:02:07.937,21,0,0.00,11.506000,51.405517,-2.819335,0.00,0.00,-8.50,-1,0,39,0,1,0,55,99,-10396,2061,11506,3164.50,16,P_GPS,1,0,660,0,0,0,0,1531404127830,3837,3833,3834,0,0,0,13,,,,,,,0,0,0,16,-5,397,-350,0,397,6,24,38.00,0.92,0,0,-37,0,,,100,100,0,1,0,0,0,2,0,,,,,4.8,0.0,0
51.405516,-2.819335,9,9,8.50,0,9,9,8.50,0,610,2018-07-12 14:02:07.939,2018-07-12 15:02:07.939,21,0,0.00,11.506000,51.405517,-2.819335,0.00,0.00,-8.50,-3,0,39,0,1,0,55,99,-10396,2061,11506,3164.50,16,P_GPS,1,0,660,0,0,0,0,1531404127939,3837,3833,3834,0,0,0,13,,,,,,,0,0,0,37,-6,397,-350,0,397,6,27,38.00,0.98,0,0,-37,0,,,100,100,0,1,0,0,0,2,0,,,,,4.8,0.0,0
51.405516,-2.819335,10,10,8.28,0,10,10,8.50,0,702,2018-07-12 14:02:08.032,2018-07-12 15:02:08.032,21,0,0.00,11.506000,51.405517,-2.819335,0.00,0.00,-8.28,-4,0,39,0,1,0,55,99,-10396,2061,11506,3164.50,16,P_GPS,1,0,660,0,0,0,0,1531404128031,3837,3833,3834,0,0,0,13,,,,,,,0,0,0,47,-8,397,-350,0,397,6,32,37.00,0.99,0,0,-37,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405516,-2.819335,11,11,7.61,0,11,11,8.50,0,805,2018-07-12 14:02:08.135,2018-07-12 15:02:08.135,21,0,0.00,11.506000,51.405517,-2.819335,0.00,0.00,-7.61,-5,-1,39,0,1,0,55,99,-10396,2061,11506,3164.50,16,P_GPS,1,0,660,0,0,0,0,1531404128134,3837,3833,3834,0,0,0,13,,,,,,,0,0,0,59,-11,397,-350,0,397,6,35,34.00,0.94,0,0,-34,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405517,-2.819335,12,12,6.94,0,12,12,8.50,0,907,2018-07-12 14:02:08.236,2018-07-12 15:02:08.237,21,0,0.00,11.506000,51.405517,-2.819335,0.00,0.22,-6.93,-6,0,39,0,1,0,55,99,-10396,2061,11506,3164.50,16,P_GPS,1,0,660,0,0,0,0,1531404128236,3837,3833,3834,0,0,0,13,,,,,,,0,0,0,69,-6,397,-350,0,397,6,39,31.02,0.86,0,1,-30,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
