latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mph),velocityY(mph),velocityZ(mph),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
51.405509,-2.819328,2,2,5.37,2,2,2,5.37,2,0,2018-07-12 14:00:00.084,2018-07-12 15:00:00.084,21,0,0.00,11.462000,51.405514,-2.819333,0.00,0.00,-5.37,-1,0,50,0,1,0,62,99,-1252,2338,11462,3147.50,16,P_GPS,1,0,0,0,660,3,0,1531404000077,3863,3859,3854,0,0,0,13,Litchi_4.7-g,markmavic,08RDE3400101DF,08XUE3E0013AD2,093AE2Q03102B9,,0,0,0,18,0,507,-30,0,505,6,8,24.00,6.70,0,0,-24,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405509,-2.819329,3,3,6.26,0,3,3,6.26,2,57,2018-07-12 14:00:00.134,2018-07-12 15:00:00.135,21,0,0.00,11.462000,51.405509,-2.819328,0.00,0.00,-6.26,-1,0,50,0,1,0,62,99,-1252,2338,11462,3147.50,16,P_GPS,1,0,0,0,660,26,0,1531404000134,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,16,-5,507,-30,0,505,6,12,28.00,0.89,0,0,-27,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405508,-2.819329,4,4,7.16,0,4,4,7.16,2,159,2018-07-12 14:00:00.236,2018-07-12 15:00:00.236,21,0,0.00,11.462000,51.405509,-2.819328,0.00,0.00,-7.16,-1,-1,50,0,1,0,62,99,-1252,2338,11462,3147.50,16,P_GPS,1,0,0,0,660,9,0,1531404000236,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,11,-10,507,-30,0,505,6,15,32.00,1.11,0,0,-32,0,,,100,100,0,1,0,0,0,2,0,,,,,5.9,0.0,0
51.405508,-2.819329,5,5,7.83,0,5,5,7.83,2,248,2018-07-12 14:00:00.326,2018-07-12 15:00:00.326,21,0,0.00,11.462000,51.405509,-2.819328,0.00,0.00,-7.83,-1,0,50,0,1,0,62,99,-1252,2338,11462,3147.50,16,P_GPS,1,0,0,0,660,9,0,1531404000325,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,10,-6,507,-30,0,505,6,17,35.00,1.30,0,0,-35,0,,,100,100,0,1,0,0,0,2,0,,,,,5.9,0.0,0
51.405508,-2.819329,7,7,8.50,0,7,7,8.50,2,370,2018-07-12 14:00:00.448,2018-07-12 15:00:00.448,21,0,0.00,11.462000,51.405509,-2.819328,0.00,0.00,-8.50,-1,0,50,0,1,0,62,99,-1252,2338,11462,3147.50,16,P_GPS,1,0,0,0,56,0,0,1531404000447,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,13,-5,507,-30,0,505,6,22,38.00,1.47,0,0,-37,0,,,100,100,0,1,0,0,0,2,0,,,,,6.0,0.0,0
51.405508,-2.819329,8,8,8.72,0,8,8,8.72,2,455,2018-07-12 14:00:00.532,2018-07-12 15:00:00.532,21,0,0.00,11.462000,51.405509,-2.819328,0.00,0.00,-8.72,-1,0,50,0,1,0,62,99,-1252,2338,11462,3147.50,16,P_GPS,1,0,29,0,0,0,0,1531404000532,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,16,-9,507,-30,0,505,6,25,39.00,1.63,0,0,-39,0,,,100,100,0,1,0,0,0,2,0,,,,,6.0,0.0,0
51.405508,-2.819330,9,9,8.50,0,9,9,8.72,2,561,2018-07-12 14:00:00.639,2018-07-12 15:00:00.639,21,0,0.00,11.484000,51.405509,-2.819328,0.00,0.00,-8.50,-1,0,50,0,1,0,62,99,-3184,2338,11484,3147.50,16,P_GPS,1,0,251,0,0,0,0,1531404000638,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,15,-6,507,-30,0,505,6,30,38.00,1.85,0,0,-37,0,,,100,100,0,1,0,0,0,2,0,,,,,9.6,0.0,0
51.405508,-2.819330,11,11,8.28,0,11,11,8.72,2,657,2018-07-12 14:00:00.735,2018-07-12 15:00:00.735,21,0,0.00,11.484000,51.405509,-2.819328,0.00,0.00,-8.28,-1,0,50,0,1,0,62,99,-3184,2338,11484,3147.50,16,P_GPS,1,0,660,0,0,0,0,1531404000734,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,18,-5,506,-30,0,505,6,34,37.00,2.03,0,0,-37,0,,,100,100,0,1,0,0,0,2,0,,,,,9.6,0.0,0
51.405508,-2.819330,12,12,7.83,0,12,12,8.72,2,755,2018-07-12 14:00:00.832,2018-07-12 15:00:00.832,21,0,0.00,11.484000,51.405509,-2.819328,0.00,0.00,-7.83,-6,0,50,0,1,0,62,99,-3184,2338,11484,3147.50,16,P_GPS,1,0,660,0,0,0,0,1531404000832,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,60,-1,506,-30,0,505,6,37,35.00,2.17,0,0,-35,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405508,-2.819330,13,13,7.38,0,13,13,8.72,2,857,2018-07-12 14:00:00.934,2018-07-12 15:00:00.934,21,0,0.00,11.484000,51.405509,-2.819328,0.00,0.00,-7.38,-7,0,50,0,1,0,62,99,-3184,2338,11484,3147.50,16,P_GPS,1,0,660,0,0,0,0,1531404000934,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,79,-1,507,-30,0,505,6,40,33.00,2.25,0,0,-32,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405508,-2.819330,14,14,6.49,0,14,14,8.72,2,960,2018-07-12 14:00:01.121,2018-07-12 15:00:01.121,21,0,0.00,11.484000,51.405509,-2.819328,0.00,0.22,-6.49,-9,0,50,0,1,0,62,99,-3184,2338,11484,3147.50,16,P_GPS,1,0,660,0,0,0,0,1531404001037,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,99,-1,507,-30,0,505,6,44,29.02,2.22,0,1,-29,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405508,-2.819330,15,15,5.60,0,15,15,8.72,2,1058,2018-07-12 14:00:01.135,2018-07-12 15:00:01.136,21,0,0.00,11.484000,51.405509,-2.819328,0.22,0.22,-5.59,-11,0,50,0,1,0,62,99,-3184,2338,11484,3147.50,16,P_GPS,1,0,660,0,0,0,0,1531404001135,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,116,-2,507,-30,0,505,6,46,25.04,2.10,1,1,-25,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405508,-2.819330,16,16,4.74,0,16,16,8.72,2,1160,2018-07-12 14:00:01.237,2018-07-12 15:00:01.237,21,0,0.00,11.484000,51.405509,-2.819328,0.45,0.45,-4.70,-13,0,50,0,1,0,62,99,-3184,2338,11484,3147.50,16,P_GPS,1,0,660,0,0,0,0,1531404001237,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,131,-1,507,-30,0,505,6,49,21.19,1.85,2,2,-20,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405508,-2.819330,16,16,3.70,0,16,16,8.72,2,1253,2018-07-12 14:00:01.330,2018-07-12 15:00:01.331,21,0,0.00,11.484000,51.405509,-2.819328,0.67,0.67,-3.58,-14,0,50,0,1,0,62,99,-3184,2338,11484,3147.50,16,P_GPS,1,0,660,0,0,0,0,1531404001330,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,146,-1,507,-30,0,505,6,50,16.55,1.49,3,3,-16,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
51.405509,-2.819329,17,17,2.77,0,17,17,8.72,2,1352,2018-07-12 14:00:01.430,2018-07-12 15:00:01.430,21,0,0.00,11.484000,51.405509,-2.819328,0.89,0.89,-2.46,-16,0,50,0,1,0,62,99,-3184,2338,11484,3147.50,16,P_GPS,1,0,660,0,0,0,0,1531404001429,3863,3859,3854,0,0,0,13,,,,,,,0,0,0,163,-1,507,-30,0,505,6,51,12.37,1.00,4,4,-11,0,,,100,100,0,1,0,0,0,2,0,,,,,0.0,0.0,0
