latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mph),velocityY(mph),velocityZ(mph),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
51.405525,-2.819245,32,32,2.25,23,32,32,5.14,23,0,43:21.0,43:21.0,21,0,0,11.264,51.405518,-2.819345,0.22,2.24,0,12,-8,56,0,1,0,46,100,-8040,1774,11264,3090.5,4,NAVI,1,0,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,-125,-80,566,0,0,771,14,98,10.05,70.6,1,10,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
51.405525,-2.819244,32,32,1.57,23,32,32,5.14,23,103,43:21.0,43:21.0,21,0,0,11.264,51.405518,-2.819345,0,1.57,0,10,-9,47,0,1,0,46,100,-8040,1774,11264,3090.5,4,NAVI,1,0,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,-109,-90,476,0,0,740,14,98,7,71.34,0,6,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
51.405525,-2.819243,32,32,0.89,23,32,32,5.14,23,171,43:21.1,43:21.1,21,0,0,11.264,51.405518,-2.819345,0,0.89,0,6,-7,40,0,1,0,46,100,-8040,1774,11264,3090.5,4,NAVI,1,0,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,-60,-79,402,0,0,680,14,98,4,71.76,0,4,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
51.405525,-2.819243,32,32,0.45,23,32,32,5.14,23,266,43:21.6,43:21.6,21,0,0,11.264,51.405518,-2.819345,0,0,0,1,-5,35,0,1,0,46,100,-8040,1774,11264,3090.5,4,NAVI,1,0,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,-15,-57,352,0,0,605,14,98,2,71.83,0,0,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
51.405525,-2.819244,32,32,0,23,32,32,5.14,23,366,43:21.6,43:21.6,21,0,0,11.264,51.405518,-2.819345,0,0,0,-2,0,25,0,1,0,46,100,-8040,1774,11264,3090.5,4,NAVI,1,0,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,27,-8,258,0,0,382,14,98,0,70.81,0,0,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
51.405525,-2.819244,32,32,0,23,32,32,5.14,23,465,43:21.6,43:21.6,21,0,0,11.264,51.405518,-2.819345,0,0,0,-2,0,25,0,1,0,46,100,-8040,1774,11264,3090.5,4,NAVI,1,0,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,27,-8,258,0,0,354,14,98,0,70.81,0,0,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
51.405525,-2.819244,32,32,0,23,32,32,5.14,23,571,43:21.6,43:21.6,21,0,0,11.264,51.405518,-2.819345,0,0,0,-2,0,25,0,1,0,46,100,-8040,1774,11264,3090.5,4,NAVI,1,0,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,27,-8,258,0,0,354,14,98,0,70.81,0,0,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
51.405525,-2.819244,32,32,0,23,32,32,5.14,23,663,43:21.7,43:21.7,21,0,0,11.264,51.405518,-2.819345,0,0,0,-2,0,25,0,1,0,46,100,-8040,1774,11264,3090.5,4,NAVI,1,0,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,27,-8,258,0,0,354,14,98,0,70.81,0,0,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
51.405525,-2.819245,32,32,0.22,23,32,32,5.14,23,774,43:21.7,43:21.7,21,0,0,11.242,51.405518,-2.819345,0,-0.22,0,-2,0,25,0,1,0,46,100,-8040,1774,11242,3090.5,4,NAVI,1,0,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,28,-4,258,0,0,354,14,98,1,70.5,0,-1,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
51.405525,-2.819245,32,32,0.22,23,32,32,5.14,23,864,43:21.8,43:21.8,21,0,0,11.242,51.405518,-2.819345,0,-0.22,0,-3,0,25,0,1,0,46,100,-8040,1774,11242,3090.5,4,NAVI,1,1,0,0,0,0,0,1.5314E+12,3755,3749,3744,0,0,0,13,,,,,,,0,0,0,31,2,258,0,0,335,14,98,1,70.17,0,-1,0,0,,,100,100,0,1,0,0,0,2,1,,,,,0,0,0
